cliente,cnpj,status_cup,data_inativacao_estimada,parcela_id,data_quitacao,valor_pago
ESD + Sundays,27318310000105,cancelado/inativo,1749524400000,cc8cb9c8-6285-4d68-8691-f6eade0171f6,1760497200000,982.04
Eternal Vitality,54714483000115,cancelado/inativo,1750042800000,24d7c843-68f4-490a-9701-abc583ad2334,1754276400000,983.52
FG Bolsas,00000000000001,cancelado/inativo,1685502000000,29781ca1-6583-42c8-afa7-2d4feb9d30fd,1758855600000,13860.00
FG Bolsas,00000000000001,cancelado/inativo,1685502000000,7b239242-ff1a-49a7-95aa-be2051f3cb03,1770001200000,13860.00
Flor de Tuna (Tiele),44272694000191,cancelado/inativo,1747623600000,d807a71e-e862-4712-93dd-8923f853f081,1751943600000,615.62
Formosa Alimentos,05228955000114,cancelado/inativo,1748746800000,e16739b4-7e58-4df6-8698-f9f2b2bae67e,1758164400000,2380.00
Galeria 028,38648870000144,cancelado/inativo,1752202800000,8e144fc9-934e-403b-aa31-55859f147075,1754881200000,1967.04
Gloosi,53762317000121,cancelado/inativo,1750906800000,96817fad-9fb5-42c4-8bc5-d2759d613c79,1767841200000,1680.00
Gloosi,53762317000121,cancelado/inativo,1750906800000,ae3f90c6-c06b-467a-aece-e731a87c03d1,1770346800000,1680.00
GLPbox,34044116000144,cancelado/inativo,1770174000000,de90e5cd-7ea7-410f-a78e-efd74e049a34,1773975600000,1248.50
Golik,44164746000106,cancelado/inativo,1748314800000,0bac6a3c-0602-4818-a920-ff5c3feaeb96,1761620400000,938.49
Golik,44164746000106,cancelado/inativo,1748314800000,1936cba3-8d6e-4fe7-a865-9cf82e0d25cb,1766026800000,938.49
Golik,44164746000106,cancelado/inativo,1748314800000,48712dbc-7f9a-4125-afa4-18097113cc8b,1766026800000,938.49
Golik,44164746000106,cancelado/inativo,1748314800000,4f3aab74-cf5c-46db-bcb6-8e18d735d3cb,1766026800000,938.46
Golik,44164746000106,cancelado/inativo,1748314800000,c200944c-7470-4c1f-9418-f44de11b84da,1756177200000,938.49
Golik,44164746000106,cancelado/inativo,1748314800000,d3433be9-5c02-4775-b5c3-923649763daa,1766026800000,938.49
Grupo Lima,28267971000111,cancelado/inativo,1750906800000,123d1bde-a8e0-11ef-acda-2bb6ac2bec8f,1754362800000,3937.04
Guia Saúde Web,05220005000143,cancelado/inativo,1750734000000,71879062-bb2c-430a-995f-4a02149d4a8e,1755226800000,1967.04
Halessah,32057186000101,cancelado/inativo,1733281200000,43695d9a-beff-4b89-8ac7-bc04e6e3ee6b,1768186800000,443.78
Hulki,47916880000104,cancelado/inativo,1741834800000,709f7078-ac19-11ef-a4df-5f96bb893066,1746500400000,1967.04
Hulki,47916880000104,cancelado/inativo,1741834800000,716de7dc-ac19-11ef-b5bb-e70472ee01e2,1744858800000,4920.08
ICCO Sol,00004087578259,cancelado/inativo,1729738800000,57405223-c727-4e22-b03a-90713d9a650e,1736132400000,2000.00
