Criativo,,"Último atualização: segunda-feira, 8 de dezembro",,,,,,,,,,,,,,,,,,,,,,,,,
Funil,"ADV+Creators, Remarketing, Creators, Geral, IA, Google, IFV",-,,,,,,,,,,,,,,,,,,,,,,,,,
Data Inicial,01/11/2025,Investimento,,,,,,,,,,,,,,,,,,,,,,,,,
Data final,08/12/2025, Descrescente,,,,,,,,,,,,,,,,,,,,,,,,,
Todos,AD ID,AD Name,Link,Data de Criação,Status,Investimento,CTR,CPM,Leads,CPL,MQL,% MQL,CPMQL,RA,% RA,CPRA,% RA MQL,RR,% RR,CPRR,Ganhos Aceleração,Ganhos Pontuais,CAC Aceleração,Lead Time Cliente Único,Clientes únicos,% RR > Cliente,CAC Único
Ativo,756367601719,Anúncio #1 Pag Alta Conversão,https://www.youtube.com/watch?v=w_u6dYLfM40,04/06/2025,Ativo,R$ 119,-,-,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120235997280990450,TP828 - hook 5 body 2 cta 2 -  - 20.10,https://fb.me/24XweWiHCFZZxMV,20/10/2025,Ativo,R$ 118,"0,73%",R$ 107,1,R$ 118,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Pausado,120238257743790450,TP918 - vv-black-friday-2025-1- body 1- hook2 -  - 14.11,https://fb.me/220GR4Mk8TWnjSZ,21/11/2025,Pausado,R$ 117,"0,65%",R$ 85,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120237764689040450,TP915 - vv-esther-creators-remarketing - 2x -  - 14.11,https://fb.me/1QxCsKwXPQLE7L8,14/11/2025,Ativo,R$ 107,"0,90%",R$ 137,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120233674230060450,TP751 - vv-remarketing-esther- insta - 1x - 3h -  - 15.09,https://fb.me/21F5DoaNsMMXcKD,15/09/2025,Pausado,R$ 92,"0,41%",R$ 191,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120237700711200450,TP913 - HOOK4body2minimal -  - 13.11,https://fb.me/1QQOzOZtlDjc1eE,13/11/2025,Pausado,R$ 86,"1,20%",R$ 114,2,R$ 43,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Ativo,120237764689050450,TP916 - vv-esther-creators-remarketing - 3x -  - 14.11,https://fb.me/2jmZf5EBbVxftVp,14/11/2025,Ativo,R$ 82,"0,19%",R$ 153,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120237764555360450,TP914 - vv-esther-creators-remarketing - 1x -  - 14.11,https://fb.me/22bukuUaY2VmDcP,14/11/2025,Ativo,R$ 75,"0,20%",R$ 152,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120237699466580450,TP899 - hook2body1cta2 -  - 13.10,https://fb.me/1YWedyAboPxCged,13/11/2025,Ativo,R$ 64,"1,20%",R$ 86,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Ativo,120237699466600450,TP898 - Hook1body1cta2 -  - 13.10,https://fb.me/2I1h85VRppKATlx,13/11/2025,Ativo,R$ 47,"0,67%",R$ 79,1,R$ 47,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
